date,OilShock,OilPrice,WorldOilProd,WorldOilInv,WorldIndProd,UsIndProd,UsCpi
197502,0,-0.5719748673,-1.9494395522,2.9573400414,-1.0340947055,-2.3496527748,0.5719748673
197503,0,-0.3795070969,-0.1596355976,-0.9274778551,-0.7881260798,-1.066868415,0.3795070969
197504,0,-0.378072284,-0.7431198152,-0.770616405,0.0401701992,0.0956383206,0.378072284
197505,0,-0.1885014696,0.4602121178,-1.3515805704,-0.6559178757,-0.2252340292,0.1885014696
197506,0,-0.7504725654,2.4968496284,-0.1220719056,0.7827253914,0.6549588865,0.7504725654
197507,0,-0.9302392662,2.5976952302,-2.809415386,0.1122535064,0.9528016612,0.9302392662
197508,0,-0.3696861881,2.1328410374,-0.4446588569,0.4373884629,1.0423434507,0.3696861881
197509,0,-0.7352974305,3.0854825094,0.3813676506,0.9669087374,1.2368240425,0.7352974305
197510,0,-0.5479465765,-9.90729117,1.7994426367,1.0062477907,0.4418811373,0.5479465765
197511,0,-0.7259560013,3.4483867324,-0.1235058372,0.4856773269,0.2198637268,0.7259560013
197512,0,-0.5410292728,1.3519270776,2.9263254492,0.7607279484,1.2367691432,0.5410292728
197601,0,-0.3590668131,-1.4629075733,5.1119099963,1.1166999754,1.4429217999,0.3590668131
197602,0,7.327706226,2.6594447422,-3.3480426736,1.0841496192,0.9709433881,0.1790510774
197603,0,0.4014612042,2.4654617353,-0.3988478439,0.3127738976,0.1149471503,0.1787310574
197604,0,0.3984332603,-1.8442849869,0.0809008402,1.1444759183,0.5712125627,0.1784121794
197605,0,-0.5333345975,0.4270986546,-1.4430711046,0.9720272803,0.4408806185,0.5333345975
197606,0,-0.530505223,3.2298284298,0.3257239964,-0.0174500161,0.0246812919,0.530505223
197607,0,-0.5277057101,0.6004762316,1.8725034446,0.4860368226,0.5822068181,0.5277057101
197608,0,-0.5249355886,0.7061390132,0.4437116827,0.091042022,0.7000767523,0.5249355886
197609,0,12.7692989156,1.5426592526,1.8939882432,1.0076042088,0.2860828289,0.5221943981
197610,0,-0.5194816877,3.0173652348,2.4139584148,0.1056709884,0.0340494935,0.5194816877
197611,0,-0.3448279279,0.9295799801,-0.060602893,1.0127651707,1.4566870178,0.3448279279
197612,0,-0.5150225976,2.4422484818,-1.8767075948,0.3780206109,1.0330290422,0.5150225976
197701,0,-0.5123837,-9.44412289,1.6016813179,0.444728691,-0.5446299257,0.5123837
197702,0,-1.016957917,6.4986004272,0.0351640375,0.0704710557,1.4996613759,1.016957917
197703,0,-0.5046268068,0.8128590733,0.2153932416,0.5787046824,1.2656947524,0.5046268068
197704,0,-0.6688988151,-1.5791970811,5.3043261926,-0.0510099888,0.9007437311,0.6688988151
197705,0,-0.3327790093,-3.2489687317,3.0062246773,0.339769502,0.8689272755,0.3327790093
197706,0,-0.4971012722,1.5261750832,2.2616440322,0.0404441816,0.7251419633,0.4971012722
197707,0,-0.4946423935,-1.9286177968,1.8634997061,-0.5080879881,0.1536265846,0.4946423935
197708,0,6.1188947907,1.4134148134,3.1135080382,0.6394354303,0.0257829041,0.4922077205
197709,0,-0.3267976765,2.0766995693,-1.8470054625,0.2966735903,0.4731827244,0.3267976765
197710,0,-0.4882027597,-0.2132445623,0.4661267265,-0.0638464792,0.1976508832,0.4882027597
197711,0,-0.6472514506,1.9030258623,1.7854921365,0.0252413371,0.0995784993,0.6472514506
197712,0,-0.4827040748,2.0039062623,2.018947774,0.8048839403,0.1553682219,0.4827040748
197801,0,-0.6400021845,-9.4901281859,-0.2873862644,-0.1893583583,-1.393320884,0.6400021845
197802,0,-0.4773278753,2.6160412068,0.3821895847,-0.3438516683,0.4878801868,0.4773278753
197803,0,-0.6329135052,0.8706490747,1.3458859793,0.7746814947,1.8820287992,0.6329135052
